split;reason;text;value
0;;"Mandag den 4. juni 2018 (D)

107. møde";
71;Time;"Dagsorden
1) 3. behandling af lovforslag nr. L 234:
Forslag til lov om ændring af lov om godskørsel. (Tilladelsesordning
for varebiler).
Af Christian Rabjerg Madsen (S), Kim Christiansen (DF), Henning
Hyllested (EL) og Karsten Hønge (SF).
(Fremsættelse 26.04.2018. 1. behandling 16.05.2018. Betænkning
24.05.2018. 2. behandling 31.05.2018. Lovforslaget optrykt efter 2.
behandling).
2) 3. behandling af lovforslag nr. L 220:
Forslag til lov om ændring af lov om frikommunenetværk. (Forsøgsmuligheder efter tredje ansøgningsrunde).
Af økonomi- og indenrigsministeren (Simon Emil Ammitzbøll-Bille).
(Fremsættelse 11.04.2018. 1. behandling 20.04.2018. Betænkning
24.05.2018. 2. behandling 31.05.2018. Lovforslaget optrykt efter 2.
behandling).
3) 3. behandling af lovforslag nr. L 236:
Forslag til lov om nedsættelse af statstilskuddet til kommuner som
følge af indtægter fra parkering.
Af økonomi- og indenrigsministeren (Simon Emil Ammitzbøll-Bille).
(Fremsættelse 02.05.2018. 1. behandling 09.05.2018. Betænkning
29.05.2018. Ændringsforslag nr. 7 og 8 af 31.05.2018 uden for betænkningen af økonomi- og indenrigsministeren (Simon Emil Ammitzbøll-Bille). 2. behandling 01.06.2018. Lovforslaget optrykt efter
2. behandling. Tillægsbetænkning 01.06.2018).
4) 3. behandling af lovforslag nr. L 232:
Forslag til lov om ændring af lov om en aktiv beskæftigelsesindsats,
lov om social service, lov om integration af udlændinge i Danmark
og forskellige andre love. (Mulighed for at udarbejde en helhedsorienteret plan til borgere med komplekse og sammensatte problemer).
Af ministeren for offentlig innovation (Sophie Løhde).
(Fremsættelse 26.04.2018. 1. behandling 03.05.2018. Betænkning
29.05.2018. 2. behandling 01.06.2018. Lovforslaget optrykt efter 2.
behandling).
5) 3. behandling af lovforslag nr. L 228:
Forslag til lov om projektering og anlæg af et vildsvinehegn langs
den dansk-tyske landegrænse.
Af miljø- og fødevareministeren (Esben Lunde Larsen).

1

(Fremsættelse 25.04.2018. 1. behandling 03.05.2018. Betænkning
23.05.2018. 2. behandling 31.05.2018. Lovforslaget optrykt efter 2.
behandling).
6) 3. behandling af lovforslag nr. L 229:
Forslag til lov om ændring af lov om hold af dyr, lov om fødevarer
og lov om foderstoffer. (Strafskærpelse som led i indsatsen mod afrikansk svinepest).
Af miljø- og fødevareministeren (Esben Lunde Larsen).
(Fremsættelse 25.04.2018. 1. behandling 03.05.2018. Betænkning
23.05.2018. 2. behandling 31.05.2018. Lovforslaget optrykt efter 2.
behandling).
7) 3. behandling af lovforslag nr. L 230:
Forslag til lov om ændring af lov om ophavsret. (Gennemførelse af
Marrakeshdirektivet m.v.).
Af kulturministeren (Mette Bock).
(Fremsættelse 25.04.2018. 1. behandling 02.05.2018. Betænkning
30.05.2018. 2. behandling 01.06.2018. Lovforslaget optrykt efter 2.
behandling).
8) 3. behandling af lovforslag nr. L 225:
Forslag til lov om ændring af lov om danskuddannelse til voksne udlændinge m.fl. (Indførelse af deltagerbetaling for danskuddannelse
til udenlandske arbejdstagere, studerende m.v.).
Af udlændinge- og integrationsministeren (Inger Støjberg).
(Fremsættelse 25.04.2018. 1. behandling 08.05.2018. Betænkning
29.05.2018. 2. behandling 01.06.2018. Lovforslaget optrykt efter 2.
behandling).
9) 3. behandling af lovforslag nr. L 231:
Forslag til lov om ændring af udlændingeloven. (Reform af reglerne
om ægtefællesammenføring med nyt integrationskrav i stedet for tilknytningskravet, skærpet boligkrav m.v.).
Af udlændinge- og integrationsministeren (Inger Støjberg).
(Fremsættelse 26.04.2018. 1. behandling 08.05.2018. Betænkning
29.05.2018. Ændringsforslag nr. 22 af 31.05.2018 uden for betænkningen af udlændinge- og integrationsministeren (Inger Støjberg). 2.
behandling 01.06.2018. Lovforslaget optrykt efter 2. behandling).
10) 3. behandling af lovforslag nr. L 239:
Forslag til lov om ændring af lov om aktiv socialpolitik, lov om Udbetaling Danmark og udlændingeloven. (Indførelse af beskæftigelseskrav for ret til uddannelses- og kontanthjælp og forlængelse af
opholdskravet samt ophævelse af bestemmelsen om opholdstilladelse på baggrund af arbejdsmarkedstilknytning).
Af udlændinge- og integrationsministeren (Inger Støjberg).
(Fremsættelse 04.05.2018. 1. behandling 08.05.2018. Betænkning
29.05.2018. 2. behandling 01.06.2018. Ændringsforslag nr. 1-4 af
01.06.2018 til 3. behandling af udlændinge- og integrationsministeren (Inger Støjberg)).

2

Mandag den 4. juni 2018 (D)

11) 3. behandling af lovforslag nr. L 189:
Forslag til lov om ændring af udlændingeloven. (Justering af kravene i beløbsordningen).
Af Martin Henriksen (DF) m.fl.
(Fremsættelse 20.03.2018. 1. behandling 08.05.2018. Betænkning
29.05.2018. 2. behandling 01.06.2018).
12) 3. behandling af lovforslag nr. L 215:
Forslag til lov om ændring af udlændingeloven, ferieloven og lov
om danskuddannelse til voksne udlændinge m.fl. (Afskaffelse af au
pair-ordningen).
Af Martin Henriksen (DF) og Karsten Hønge (SF) m.fl.
(Fremsættelse 23.03.2018. 1. behandling 08.05.2018. Betænkning
29.05.2018. 2. behandling 01.06.2018).
13) 1. (eneste) behandling af beslutningsforslag nr. B 146:
Forslag til folketingsbeslutning om adgang til at inddrage forældremyndighedsindehavers opholdstilladelse, hvis vedkommende sender
sit barn på genopdragelsesrejse i udlandet.
Af Martin Henriksen (DF) m.fl.
(Fremsættelse 17.05.2018. Betænkning 29.05.2018).
14) 2. (sidste) behandling af beslutningsforslag nr. B 85:
Forslag til folketingsbeslutning om et helt eller delvist udgangsforbud for asylansøgere under 18 år.
Af Martin Henriksen (DF) m.fl.
(Fremsættelse 13.03.2018. 1. behandling 26.04.2018. Betænkning
31.05.2018).
15) 2. (sidste) behandling af beslutningsforslag nr. B 86:
Forslag til folketingsbeslutning om automatisk inddragelse af opholdstilladelse for udlændinge, der har modtaget kontanthjælp eller
starthjælp i 3 år.
Af Martin Henriksen (DF) m.fl.
(Fremsættelse 13.03.2018. 1. behandling 26.04.2018. Betænkning
22.05.2018).
16) 2. (sidste) behandling af beslutningsforslag nr. B 106:
Forslag til folketingsbeslutning om aktivering af nødbremsen til afvisning af asylansøgere ved grænsen.
Af Martin Henriksen (DF) m.fl.
(Fremsættelse 21.03.2018. 1. behandling 17.05.2018. Betænkning
29.05.2018).
17) 2. (sidste) behandling af beslutningsforslag nr. B 142:
Forslag til folketingsbeslutning om større hensyntagen til børns trivsel på asylcentre.
Af Holger K. Nielsen (SF) og Jacob Mark (SF).
(Fremsættelse 26.04.2018. 1. behandling 23.05.2018. Betænkning
29.05.2018).
18) 2. (sidste) behandling af beslutningsforslag nr. B 99:
Forslag til folketingsbeslutning om fratagelse af passet fra dømte
pædofile.
Af Peter Kofod Poulsen (DF) m.fl.
(Fremsættelse 16.03.2018. 1. behandling 22.05.2018. Betænkning
31.05.2018).
19) 2. (sidste) behandling af beslutningsforslag nr. B 123:
Forslag til folketingsbeslutning om skærpelse af straffen i sager om
illegal handel med cigaretter og bedre muligheder for politiet til at
udføre en styrket kontrolindsats.
Af Hans Kristian Skibby (DF) m.fl.
(Fremsættelse 23.03.2018. 1. behandling 15.05.2018. Betænkning
31.05.2018).

20) 2. (sidste) behandling af beslutningsforslag nr. B 91:
Forslag til folketingsbeslutning om en uvildig undersøgelse af udlændinge- og integrationsministerens håndtering af adskilt indkvartering af mindreårige gifte eller samlevende asylansøgere.
Af Mattias Tesfaye (S), Nikolaj Villumsen (EL), Josephine Fock
(ALT), Sofie Carsten Nielsen (RV) og Holger K. Nielsen (SF).
(Fremsættelse 14.03.2018. 1. behandling 26.04.2018. Betænkning
23.05.2018).
21) 2. (sidste) behandling af beslutningsforslag nr. B 140:
Forslag til folketingsbeslutning om afskaffelse af ministerpension og
pension til ministerbørn (borgerforslag).
Af Peter Skaarup (DF), Pernille Skipper (EL), Christina Egelund
(LA), Carolina Magdalene Maier (ALT), Morten Østergaard (RV),
Karsten Hønge (SF) og Mette Abildgaard (KF).
(Fremsættelse 11.04.2018. 1. behandling 03.05.2018. Betænkning
29.05.2018).
22) 2. (sidste) behandling af beslutningsforslag nr. B 143:
Forslag til folketingsbeslutning om ændring af folketingsbeslutning
om statsrevisorernes valg og virksomhed.
Af Pia Kjærsgaard (DF), Henrik Dam Kristensen (S), Kristian Pihl
Lorentzen (V) og Leif Mikkelsen (LA).
(Fremsættelse 04.05.2018. 1. behandling 09.05.2018. Betænkning
29.05.2018).
23) 2. (sidste) behandling af beslutningsforslag nr. B 147:
Forslag til folketingsbeslutning om ændring af forretningsordenen
for Folketinget. (Ændring af forskellige arbejdsformer og forretningsgange m.v.).
Af Udvalget for Forretningsordenen.
(Forslag som fremsat (i betænkning) 23.05.2018. Anmeldelse (i salen) 24.05.2018. 1. behandling 29.05.2018).
24) 2. (sidste) behandling af beslutningsforslag nr. B 128:
Forslag til folketingsbeslutning om tilgængelighed for personer med
handicap til ny- og ombyggede enfamilieshuse.
Af Kirsten Normann Andersen (SF) og Jacob Mark (SF).
(Fremsættelse 23.03.2018. 1. behandling 16.05.2018. Betænkning
31.05.2018).
25) 2. (sidste) behandling af beslutningsforslag nr. B 118:
Forslag til folketingsbeslutning om en udfasning af Ankaraaftalen af
1963 om en associeringsaftale mellem EU og Tyrkiet.
Af Kenneth Kristensen Berth (DF) m.fl.
(Fremsættelse 23.03.2018. 1. behandling 24.04.2018. Betænkning
01.06.2018).
26) 2. (sidste) behandling af beslutningsforslag nr. B 110:
Forslag til folketingsbeslutning om muligheden for plejeorlov til pårørende til terminale patienter, der ønsker at dø uden for hjemmet.
Af Kirsten Normann Andersen (SF) m.fl.
(Fremsættelse 23.03.2018. 1. behandling 16.05.2018. Betænkning
29.05.2018).
27) 2. (sidste) behandling af beslutningsforslag nr. B 122:
Forslag til folketingsbeslutning om bedre vejledning og oplysning til
pårørende til syge og ældre svækkede medborgere.
Af Kirsten Normann Andersen (SF) og Jacob Mark (SF).
(Fremsættelse 23.03.2018. 1. behandling 16.05.2018. Betænkning
29.05.2018).

Mandag den 4. juni 2018 (FM )

28) Valg af 6 statsrevisorer og 6 stedfortrædere";kl. 9.00
10026;Time;Meddelelser fra formanden;Kl. 09:00
10080;title_name;":
Mødet er åbnet.

3

Det næste punkt på dagsordenen er:
2) 3. behandling af lovforslag nr. L 220:
Forslag til lov om ændring af lov om frikommunenetværk. (Forsøgsmuligheder efter tredje ansøgningsrunde).
Af økonomi- og indenrigsministeren (Simon Emil Ammitzbøll-Bille).
(Fremsættelse 11.04.2018. 1. behandling 20.04.2018. Betænkning
24.05.2018. 2. behandling 31.05.2018. Lovforslaget optrykt efter 2.
behandling).";Pia Kjærsgaard
10504;Time;"I dag er der følgende anmeldelse:

Forhandling

Magnus Heunicke (S) m.fl.:";Kl. 09:02
10608;title_name;":
Der er ikke stillet ændringsforslag.
Er der nogen, der ønsker at udtale sig?
Da det ikke er tilfældet, går vi til afstemning.

Beslutningsforslag nr. B 149 (Forslag til folketingsbeslutning om
stop for udlejning af ubeboelige ejendomme).";Pia Kjærsgaard
10858;Time;"Titlen på den anmeldte sag vil fremgå af www.folketingstidende.dk
(jf. ovenfor).
Afstemning

Det første punkt på dagsordenen er:
1) 3. behandling af lovforslag nr. L 234:
Forslag til lov om ændring af lov om godskørsel. (Tilladelsesordning for varebiler).
Af Christian Rabjerg Madsen (S), Kim Christiansen (DF), Henning
Hyllested (EL) og Karsten Hønge (SF).
(Fremsættelse 26.04.2018. 1. behandling 16.05.2018. Betænkning
24.05.2018. 2. behandling 31.05.2018. Lovforslaget optrykt efter 2.
behandling).";Kl. 09:02
11389;title_name;":
Der stemmes om lovforslagets endelige vedtagelse.
Afstemningen er slut.
For stemte 86 (S, DF, V, LA, ALT, RV og KF), imod stemte 12 (EL
og SF), hverken for eller imod stemte 0.
Lovforslaget er vedtaget og vil nu blive sendt til statsministeren.";Pia Kjærsgaard
11646;Time;Forhandling;Kl. 09:01
11686;title_name;":
Der er ikke stillet ændringsforslag.
Er der nogen, der ønsker at udtale sig?
Da det ikke er tilfældet, går vi til afstemning.";Pia Kjærsgaard
