text;Name;Time
":
Tak for det. Spørgsmålet lyder sådan her:
Hvad er ministerens holdning til de nye tal fra Rockwool Fondens Forskningsenhed, der på baggrund af den såkaldte DREAMmodel har beregnet, at indvandrere fra ikkevestlige lande koster
samfundet 16,6 mia. kr. i år og belaster økonomien frem til 2050, og
hvordan vil regeringen søge udgifterne begrænset?";Peter Skaarup;13H 1M 0S
"Lovforslag nr. L 130 (Forslag til lov om ændring af byggeloven.
(Ændring af byggelovens dispensationsbestemmelse i forhold til kravet om etablering af parkeringspladser på egen grund m.v.)).

Formanden:
Finansministeren.";Peter Skaarup;13H 1M 0S
:;Karen Hækkerup;13H 1M 0S
":
Mange tak for spørgsmålet.
Den rapport, der henvises til, fra Rockwool Fonden bekræfter, at
finanspolitikken samlet set er holdbar i Danmark. Det glæder jeg
mig over i mit job. Der er jo ikke tale om, at det beløb, der spørges
ind til her, er et finansieringsudestående, vi har i vores økonomiske
politik. Derudover er det jo sådan, at regeringen fører, hvad vi anser
for at være en robust og retfærdig udlændingepolitik, og den fastholder vi. Et af regeringens mål er, at beskæftigelsen for indvandrere og
efterkommere fra mindre udviklede lande skal øges med 10.000 personer frem mod 2020. Resultaterne i rapporten understreger netop, at
det er vigtigt, at man fortsat arbejder på bedre integration af indvandrere og efterkommere fra ikkevestlige lande.
Det negative bidrag, der er opgjort i Rockwool Fondens rapport,
bygger på en lang række beregningsantagelser, og tallet er behæftet
med betydelig usikkerhed. Det afspejler overordnet to ting: For det
første at både indvandrere og til dels også efterkommere fra mindre
udviklede lande i gennemsnit har en lavere beskæftigelsesgrad end
personer med dansk oprindelse og i gennemsnit trækker mere på visse typer af offentlige udgifter, og for det andet at mange efterkommere aktuelt er unge mennesker, som endnu er under uddannelse, og
det vil sige ikke er kommet ud på arbejdsmarkedet endnu.
Hvad det første angår, så afspejler den relativt lave beskæftigelsesgrad blandt indvandrere bl.a. deres uddannelsesniveau, deres
sprogkundskaber, når de kommer til Danmark, og det er bl.a. for at
styrke forudsætningerne for beskæftigelse, herunder for efterkommere med ikkevestlig baggrund, at regeringen har gennemført en
stor folkeskolereform, og at vi lægger op til en reform af erhvervsuddannelserne og også, at vi styrker de videregående uddannelser.
Som nævnt er det regeringens mål, at beskæftigelsen for indvandrere og efterkommere fra mindre udviklede lande skal øges med
10.000 personer frem mod 2020, og indfrielsen af det må vel også
som udgangspunkt give et positivt bidrag til de offentlige finanser.

Lovforslag nr. L 131 (Forslag til lov om ændring af udlændingeloven. (Ændring af reglerne om afvisning m.v. til gennemførelse af direktiv 2008/115/EF om fælles standarder og procedurer i medlemsstaterne for tilbagesendelse af tredjelandsstatsborgere med ulovligt
ophold (udsendelsesdirektivet) m.v.)).
Alex Ahrendtsen (DF) m.fl.:
Beslutningsforslag nr. B 45 (Forslag til folketingsbeslutning om forhøjelse af det statslige tilskud til Gammel Estrup – Herregårdsmuseet).
Kristian Thulesen Dahl (DF) m.fl.:
Forespørgsel nr. F 16 (Vil statsministeren tage initiativ til, at vi i
Danmark får en lignende proces, som den britiske premierminister,
David Cameron, har igangsat i England om nationalstaternes selvbestemmelse i forhold til EU?).
Titlerne på de anmeldte sager vil fremgå af www.folketingstidende.dk (jf. ovenfor).

Det eneste punkt på dagsordenen er:
1) Besvarelse af oversendte spørgsmål til ministrene (spørgetid).";Bjarne Corydon;13H 1M 0S
"Formanden:
Det første spørgsmål er til finansministeren af hr. Peter Skaarup.";Bjarne Corydon;13H 0M 0S
"Onsdag den 5. februar 2014 (S 907)

Ud over de nævnte reformer af uddannelsessystemet har vi også gennemført en række andre reformer de senere år, som understøtter, at
flere kan og vil forsørge sig selv fremadrettet.
Hvad det andet angår, altså det forhold, at mange efterkommere
fra ikkevestlige lande aktuelt er unge mennesker, som er under uddannelse, så er det jo i sagens natur forhold, som vil ændre sig, efterhånden som unge mennesker bliver ældre og når den erhvervsaktive
alder. Mange flere vil da komme i beskæftigelse og betale skat og
ikke længere trække på udgifter til uddannelse.";Bjarne Corydon;13H 1M 0S
"Formanden:
Må jeg lige sige, at finansministeren er blevet opgraderet i statsrådsrækkefølgen og derfor skal sidde på den plads, der er en tak nærmere
mig, og tale i den mikrofon næste gang.
Hr. Peter Skaarup.

3

vestlige indvandrere forventes at blive reduceret fra de 16 mia. kr.,
der spørges til, til 6 mia. kr. over tid. Altså, man går 10 mia. kr. ned,
bl.a. i kraft af det her med, at mange af de mennesker, vi taler om, er
unge mennesker, som vil få en uddannelse og komme i arbejde efterfølgende.
Svaret på det med starthjælpen er nej. Altså, vi afskaffede starthjælpen, fordi vi anså det for at være en fattigdomsydelse. Og de seneste tal, i forhold til hvad det ville give af gevinst at genindføre
den, viser, at den vil være stærkt begrænset. Men vi har jo til gengæld lavet en kontanthjælpsreform, som går ganske hårdt til værks i
forhold til at få folk i job og uddannelse i stedet for at være på kontanthjælp.";Bjarne Corydon;13H 4M 0S
"Formanden:
Hr. Peter Skaarup.";Bjarne Corydon;13H 7M 0S
":
Ja, der er blevet flyttet lidt rundt på tingene. Tak til finansministeren
for besvarelsen. Vi har jo lagt mærke til i Dansk Folkeparti, at den
enhed, som tidligere beregnede udgifter ved indvandring og ikke
mindst ikkevestlig indvandring, hvor der er en udfordring, har regeringen nedlagt. Så er det godt, at andre som eksempelvis Rockwool
Fonden her sådan mere på privat basis finder ud af, hvad tingene koster – det må også være interessant for finansministeren som den, der
skal holde på pengene og sikre, at der er balance i tingene, altså at
der så er nogle gode kræfter, der sætter fokus på det her og fortæller
os, hvad status er.
Det er rigtigt, som finansministeren siger, at der selvfølgelig altid
er usikkerhed om de her ting, men alligevel er det jo sådan, at tendensen næsten altid er den samme, nemlig at ikkevestlige indvandrere – desværre – er en omkostning for vores samfund, og at vi skal
gøre, hvad vi kan, for at få flere i beskæftigelse og få flere i gang,
sådan at de bidrager til samfundet på lige fod med vestlige indvandrere og selvfølgelig også danskere.
En af de ting, som vi foreslår i Dansk Folkeparti, er, at man forbedrer integrationen kraftigt, og det er jo ikke mindst i forhold til
nogle af de mellemøstlige lande, hvorfra der kommer personer, der
står uden for arbejdsmarkedet – Tyrkiet, Irak, Pakistan, Somalia – at
man skal sætte ind. Et af midlerne kunne være at genindføre starthjælpen. Starthjælpen var en succes. En tredjedel af de indvandrere
og flygtninge, der var på starthjælp, blev jo selvforsørgende, fordi
der var et incitament, altså en lavere ydelse end kontanthjælpen, til
at starte med. Og det er langt flere end blandt de indvandrere, der var
på kontanthjælp; der er det så kun hver fjerde, der er blevet selvforsørgende. Det har en ministeriel rapport fortalt os.
Så der er en klar jobeffekt i starthjælpen, som regeringen jo så
desværre afskaffede, da den trådte til. Jeg kunne godt tænke mig at
høre finansministeren, om det på baggrund af de her tal så ikke var
en oplagt idé at genindføre starthjælpen, som altså har en klar jobeffekt.";Peter Skaarup;13H 7M 0S
":
Jeg vil sige, at hvis man kigger på starthjælpen, der blev indført i
2002, vil man se, at den faktisk motiverer flygtninge til at komme i
arbejde. Det har også Rockwool Fonden peget på i en undersøgelse,
de lavede i 2009. Det var sådan, at 30 pct. af de flygtninge, der var
på kontanthjælp, var i arbejde, 4 år efter de kom til Danmark, mens
det var 42 pct. af de flygtninge, der modtog starthjælp. Så der er en
klar effekt af de her ting, og derfor er det klart en opfordring fra
Dansk Folkeparti om at genindføre starthjælpen, så vi sikrer, at dem,
der gerne vil bidrage, og det er jo heldigvis mange, også får en motivation til at bidrage og til at tage et stykke arbejde.";Peter Skaarup;13H 7M 0S
